Division of Insurance Region,Payer Type,Year,Service Type,Total LV Spending,Total Spending on Necessary Care,Total LV Services (Volume)
Boulder,CHP+,2017,25-OH-Vitamin D Deficiency,329,246,
Boulder,CHP+,2017,Annual Resting EKGs,0,12771,0.0
Boulder,CHP+,2017,Antibiotics for Acute Upper Respiratory and Ear Infections,714,0,28.0
Boulder,CHP+,2017,Antibiotics for Adenoviral Conjunctivitis,18,0,
Boulder,CHP+,2017,Cardiac Stress Testing,0,1451,0.0
Boulder,CHP+,2017,Cervical Cancer Screening for Women,0,2608,0.0
Boulder,CHP+,2017,Cough and Cold Medicines in Children < 4 Years,33,0,
Boulder,CHP+,2017,CT Scans for Abdominal Pain in Children,2098,35830,
Boulder,CHP+,2017,Dexa,0,10,0.0
Boulder,CHP+,2017,Headache Image,375,0,
Boulder,CHP+,2017,Imaging for Uncomplicated Acute Rhinosinusitis,600,0,
Boulder,CHP+,2017,Imaging Tests for Eye Disease,318,2095,12.0
